,content_id,content,jieba,jieba_remove_stopword,token_sequence,pad_sequence,sentiment_value
409,YzigLBmP9naDrOkd,rav42019款，合资车安全性有进口的森林人好吗？是全时四驱吗？也比不了森林人！我也在等明年这两个车,"['rav42019', '款', '，', '合资', '车', '安全性', '有', '进口', '的', '森林', '人好', '吗', '？', '是', '全时', '四驱', '吗', '？', '也', '比', '不了', '森林', '人', '！', '我', '也', '在', '等', '明年', '这', '两个', '车']","['rav42019', '款', '合资', '车', '安全性', '有', '进口', '森林', '人好', '全时', '四驱', '森林', '人', '明年', '两个', '车']","[24, 457, 9, 203, 4, 159, 2, 762, 82, 31, 2, 3, 3558, 180, 9]","[24, 457, 9, 203, 4, 159, 2, 762, 82, 31, 2, 3, 3558, 180, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
410,MLKIN0SUHq5v8zYW,12款森林人，现在越开越喜欢，特别是他的操控感。平时只需正常保养即可。,"['12', '款', '森林', '人', '，', '现在', '越开', '越', '喜欢', '，', '特别', '是', '他', '的', '操控', '感', '。', '平时', '只', '需', '正常', '保养', '即可', '。']","['款', '森林', '人', '现在', '越开', '越', '喜欢', '特别', '操控', '感', '平时', '只', '需', '正常', '保养', '即可']","[24, 2, 3, 32, 3652, 402, 59, 198, 33, 307, 354, 234, 2675, 79, 52, 1196]","[24, 2, 3, 32, 3652, 402, 59, 198, 33, 307, 354, 234, 2675, 79, 52, 1196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
411,gt9voj04c3eQlOHs,你想说的导航是原车的还是加装的吧？这个你直接咨询经销商就行了啊，个人觉得手机导航方便好用,"['你', '想', '说', '的', '导航', '是', '原车', '的', '还是', '加装', '的', '吧', '？', '这个', '你', '直接', '咨询', '经销商', '就行了', '啊', '，', '个人', '觉得', '手机', '导航', '方便', '好用']","['想', '说', '导航', '原车', '加装', '直接', '咨询', '经销商', '就行了', '觉得', '手机', '导航', '方便', '好用']","[90, 18, 41, 244, 453, 137, 1531, 1210, 684, 44, 296, 41, 404, 911]","[90, 18, 41, 244, 453, 137, 1531, 1210, 684, 44, 296, 41, 404, 911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
412,wDxEtaUH3zLoPAI2,最近一直在研究森林人，论坛反应确实2.5烧机油啊，大部分5万公理开始烧，好像有的反应3000公里烧2升....悲剧....价格比2.0贵好几万，还多出来个大毛病   ,"['最近', '一直', '在', '研究', '森林', '人', '，', '论坛', '反应', '确实', '2.5', '烧', '机油', '啊', '，', '大部分', '5', '万', '公理', '开始', '烧', '，', '好像', '有', '的', '反应', '3000', '公里', '烧', '2', '升', '....', '悲剧', '....', '价格比', '2.0', '贵', '好几万', '，', '还', '多', '出来', '个', '大', '毛病']","['最近', '一直', '研究', '森林', '人', '论坛', '反应', '确实', '2.5', '烧', '机油', '大部分', '万', '公理', '烧', '好像', '有', '反应', '公里', '烧', '升', '....', '悲剧', '....', '价格比', '2.0', '贵', '好几万', '多', '大', '毛病']","[359, 134, 1748, 2, 3, 311, 615, 86, 1, 34, 7, 974, 58, 34, 170, 4, 615, 45, 34, 217, 13724, 1524, 1, 123, 5340, 22, 17, 264]","[359, 134, 1748, 2, 3, 311, 615, 86, 1, 34, 7, 974, 58, 34, 170, 4, 615, 45, 34, 217, 13724, 1524, 1, 123, 5340, 22, 17, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
413,OBd3i7fxTRQSL81h,比南京价格好多了，南京全款时尚落地25.5,"['比', '南京', '价格', '好多', '了', '，', '南京', '全款', '时尚', '落地', '25.5']","['南京', '价格', '好多', '南京', '全款', '时尚', '落地', '25.5']","[3161, 12, 503, 3161, 2347, 214, 477, 2104]","[3161, 12, 503, 3161, 2347, 214, 477, 2104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
414,cD9s48BbWiwykgU3,布雷博 18Z前6后4刹车什么成色？能拍个照片看看吗？什么价格？   ,"['布雷', '博', ' ', '18Z', '前', '6', '后', '4', '刹车', '什么', '成色', '？', '能', '拍个', '照片', '看看', '吗', '？', '什么', '价格', '？']","['布雷', '博', ' ', '18Z', '前', '后', '刹车', '成色', '拍个', '照片', '看看', '价格']","[11629, 140, 54, 37, 3625, 1239, 97, 12]","[11629, 140, 54, 37, 3625, 1239, 97, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
415,4IONEgTitCLGye9Z,20万公里的车，我建议不要买，就是6万你买了修起来很麻烦，关键你大修了绝对不如没有修过的，cvt变速箱的使用极限也到了，09年的车10万公里左右，8万左右的价格还行，不需要大修，好好保养一下就可以了，车况好9万左右也值,"['20', '万公里', '的', '车', '，', '我', '建议', '不要', '买', '，', '就是', '6', '万', '你', '买', '了', '修', '起来', '很', '麻烦', '，', '关键', '你', '大修', '了', '绝对', '不如', '没有', '修过', '的', '，', 'cvt', '变速箱', '的', '使用', '极限', '也', '到', '了', '，', '09', '年', '的', '车', '10', '万公里', '左右', '，', '8', '万左右', '的', '价格', '还', '行', '，', '不', '需要', '大修', '，', '好好', '保养', '一下', '就', '可以', '了', '，', '车况', '好', '9', '万左右', '也', '值']","['万公里', '车', '建议', '不要', '买', '万', '买', '修', '麻烦', '关键', '大修', '不如', '没有', '修过', 'cvt', '变速箱', '使用', '极限', '09', '年', '车', '万公里', '左右', '万左右', '价格', '行', '需要', '大修', '好好', '保养', '一下', '可以', '车况', '好', '万左右', '值']","[108, 9, 75, 119, 19, 58, 19, 722, 558, 374, 2247, 111, 16, 4333, 147, 49, 195, 838, 482, 70, 9, 108, 68, 1080, 12, 293, 133, 2247, 1472, 52, 62, 13, 429, 10, 1080, 971]","[108, 9, 75, 119, 19, 58, 19, 722, 558, 374, 2247, 111, 16, 4333, 147, 49, 195, 838, 482, 70, 9, 108, 68, 1080, 12, 293, 133, 2247, 1472, 52, 62, 13, 429, 10, 1080, 971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
416,OSwysxEp1KTU4ZGV,如果只推出2.5和2.0混动，混动版肯定比2.5的要贵，然后混动的动力还不如2.5的，你觉得有几个人会买混动版？然后没有了2.0自吸车型，全系的起步价上升了，又损失一部分低预算的客户，推出2.0混动和2.5，斯巴鲁的脑子才进水了呢！    ,"['如果', '只', '推出', '2.5', '和', '2.0', '混动', '，', '混动版', '肯定', '比', '2.5', '的', '要', '贵', '，', '然后', '混动', '的', '动力', '还', '不如', '2.5', '的', '，', '你', '觉得', '有', '几个', '人会', '买', '混动版', '？', '然后', '没有', '了', '2.0', '自吸', '车型', '，', '全系', '的', '起步价', '上升', '了', '，', '又', '损失', '一部分', '低', '预算', '的', '客户', '，', '推出', '2.0', '混动', '和', '2.5', '，', '斯巴鲁', '的', '脑子', '才', '进水', '了', '呢', '！']","['只', '推出', '2.5', '2.0', '混动', '混动版', '肯定', '2.5', '贵', '混动', '动力', '不如', '2.5', '觉得', '有', '几个', '人会', '买', '混动版', '没有', '2.0', '自吸', '车型', '全系', '起步价', '上升', '损失', '一部分', '低', '预算', '客户', '推出', '2.0', '混动', '2.5', '斯巴鲁', '脑子', '进水']","[234, 3057, 1, 1, 335, 1830, 71, 1, 123, 335, 11, 111, 1, 44, 4, 282, 3371, 19, 1830, 16, 1, 433, 163, 598, 958, 2683, 2144, 57, 330, 3737, 3057, 1, 335, 1, 35, 4182, 3144]","[234, 3057, 1, 1, 335, 1830, 71, 1, 123, 335, 11, 111, 1, 44, 4, 282, 3371, 19, 1830, 16, 1, 433, 163, 598, 958, 2683, 2144, 57, 330, 3737, 3057, 1, 335, 1, 35, 4182, 3144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
417,KY8LH4SCnWqD5d7j,如果我没记错的话10年左右的就是三代森林人貌似是没有2.0T的，2.5T的车那个油耗要有心理准备，13个油左右，估计再轻柔的开法都要12左右，最后如果是XT的素车价格9-11万左右吧，具体还是要看车况，别太care过户次数和公里数，这个年份的车只要车况好就行了，SE估计有点难求,"['如果', '我', '没', '记错', '的话', '10', '年', '左右', '的', '就是', '三代', '森林', '人', '貌似', '是', '没有', '2.0', 'T', '的', '，', '2.5', 'T', '的', '车', '那个', '油耗', '要', '有', '心理准备', '，', '13', '个油', '左右', '，', '估计', '再', '轻柔', '的', '开法', '都', '要', '12', '左右', '，', '最后', '如果', '是', 'XT', '的', '素车', '价格', '9', '-', '11', '万左右', '吧', '，', '具体', '还是', '要', '看', '车况', '，', '别太', 'care', '过户', '次数', '和', '公里', '数', '，', '这个', '年份', '的', '车', '只要', '车况', '好', '就行了', '，', 'SE', '估计', '有点', '难求']","['没', '记错', '年', '左右', '三代', '森林', '人', '貌似', '没有', '2.0', 'T', '2.5', 'T', '车', '油耗', '有', '心理准备', '个油', '左右', '估计', '再', '轻柔', '开法', '左右', '最后', 'XT', '素车', '价格', '万左右', '具体', '车况', '别太', 'care', '过户', '次数', '公里', '数', '年份', '车', '车况', '好', '就行了', 'SE', '估计', '有点', '难求']","[15, 6796, 70, 68, 2558, 2, 3, 597, 16, 1, 99, 1, 99, 9, 6, 4, 499, 68, 114, 55, 9287, 10991, 68, 305, 157, 11103, 12, 1080, 560, 429, 9545, 3570, 6400, 45, 673, 2981, 9, 429, 10, 684, 612, 114, 78]","[15, 6796, 70, 68, 2558, 2, 3, 597, 16, 1, 99, 1, 99, 9, 6, 4, 499, 68, 114, 55, 9287, 10991, 68, 305, 157, 11103, 12, 1080, 560, 429, 9545, 3570, 6400, 45, 673, 2981, 9, 429, 10, 684, 612, 114, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
418,meNdXs32PROBrfkH,谢谢各位的指点，他自己又好了，电瓶也没亏电，不过2.0的老森加速真是肉，开了空调更肉。城里开出12.2的油耗，乡镇道路8.2到8.6，开空调多一个油耗。,"['谢谢', '各位', '的', '指点', '，', '他', '自己', '又', '好', '了', '，', '电瓶', '也', '没亏', '电', '，', '不过', '2.0', '的', '老森', '加速', '真是', '肉', '，', '开', '了', '空调', '更肉', '。', '城里', '开出', '12.2', '的', '油耗', '，', '乡镇', '道路', '8.2', '到', '8.6', '，', '开', '空调', '多', '一个', '油耗', '。']","['谢谢', '指点', '好', '电瓶', '没亏', '电', '不过', '2.0', '老森', '加速', '真是', '肉', '开', '空调', '更肉', '城里', '开出', '12.2', '油耗', '乡镇', '道路', '8.2', '8.6', '开', '空调', '多', '一个', '油耗']","[267, 5387, 10, 517, 13122, 1615, 60, 1, 1336, 73, 435, 832, 26, 46, 1370, 2709, 1653, 6, 1902, 88, 88, 26, 46, 22, 36, 6]","[267, 5387, 10, 517, 13122, 1615, 60, 1, 1336, 73, 435, 832, 26, 46, 1370, 2709, 1653, 6, 1902, 88, 88, 26, 46, 22, 36, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
419,k05bFn6OEedjq9vH,开过沃尔沃的suv但不是四驱，在一个大陡坡上起步，路面有点沙土，起步打滑，而且没有陡坡助停功能，起步会溜，陡坡起步没有安全感，2.5t的又有啥用，不能给我安全感，还是小森适合我可以陪我野。,"['开', '过', '沃尔沃', '的', 'suv', '但', '不是', '四驱', '，', '在', '一个', '大', '陡坡', '上', '起步', '，', '路面', '有点', '沙土', '，', '起步', '打滑', '，', '而且', '没有', '陡坡', '助停', '功能', '，', '起步', '会', '溜', '，', '陡坡', '起步', '没有', '安全感', '，', '2.5', 't', '的', '又', '有', '啥', '用', '，', '不能', '给', '我', '安全感', '，', '还是', '小森', '适合', '我', '可以', '陪', '我野', '。']","['开', '沃尔沃', 'suv', '不是', '四驱', '一个', '大', '陡坡', '起步', '路面', '有点', '沙土', '起步', '打滑', '没有', '陡坡', '助停', '功能', '起步', '溜', '陡坡', '起步', '没有', '安全感', '2.5', '有', '不能', '安全感', '小森', '适合', '可以', '陪', '我野']","[26, 897, 93, 30, 31, 36, 17, 1862, 298, 346, 78, 298, 1728, 16, 1862, 372, 298, 3400, 1862, 298, 16, 2642, 1, 4, 144, 2642, 216, 199, 13, 5285]","[26, 897, 93, 30, 31, 36, 17, 1862, 298, 346, 78, 298, 1728, 16, 1862, 372, 298, 3400, 1862, 298, 16, 2642, 1, 4, 144, 2642, 216, 199, 13, 5285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
420,YUkilVqunSyWdFAJ,我也听说真不让进口2.5升的版本，我想问一下，我想购买新森林人运动版，这个版本是多大排量的？其他的都完美，不知道有没有全景影像系统，我觉得这个配置将来会标配。   ,"['我', '也', '听说', '真', '不让', '进口', '2.5', '升', '的', '版本', '，', '我', '想', '问', '一下', '，', '我', '想', '购买', '新', '森林', '人', '运动版', '，', '这个', '版本', '是', '多', '大排量', '的', '？', '其他', '的', '都', '完美', '，', '不', '知道', '有没有', '全景', '影像', '系统', '，', '我', '觉得', '这个', '配置', '将来', '会标', '配', '。']","['听说', '真', '不让', '进口', '2.5', '升', '版本', '想', '问', '一下', '想', '购买', '新', '森林', '人', '运动版', '版本', '多', '大排量', '完美', '知道', '有没有', '全景', '影像', '系统', '觉得', '配置', '将来', '会标', '配']","[385, 177, 1941, 159, 1, 217, 653, 90, 252, 62, 90, 1311, 128, 2, 3, 1431, 653, 22, 893, 649, 61, 369, 1093, 808, 254, 44, 28, 3203, 511]","[385, 177, 1941, 159, 1, 217, 653, 90, 252, 62, 90, 1311, 128, 2, 3, 1431, 653, 22, 893, 649, 61, 369, 1093, 808, 254, 44, 28, 3203, 511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
421,nmldu0FiyIZS9Tj3,其实，国内的车就那么些，安全方面还是斯巴鲁一直领先，宝马奔驰就是面子货，我看安全还是斯巴鲁吧。看了汉兰达、锐界、途观L，看来看去还是回到斯巴鲁了。   ,"['其实', '，', '国内', '的', '车', '就', '那么些', '，', '安全', '方面', '还是', '斯巴鲁', '一直', '领先', '，', '宝马', '奔驰', '就是', '面子', '货', '，', '我', '看', '安全', '还是', '斯巴鲁', '吧', '。', '看', '了', '汉兰达', '、', '锐界', '、', '途观', 'L', '，', '看来看去', '还是', '回到', '斯巴鲁', '了', '。']","['国内', '车', '安全', '方面', '斯巴鲁', '一直', '领先', '宝马', '奔驰', '面子', '货', '安全', '斯巴鲁', '汉兰达', '锐界', '途观', 'L', '看来看去', '回到', '斯巴鲁']","[253, 9, 112, 187, 35, 134, 6468, 299, 980, 894, 1633, 112, 35, 366, 1360, 173, 285, 9837, 2215, 35]","[253, 9, 112, 187, 35, 134, 6468, 299, 980, 894, 1633, 112, 35, 366, 1360, 173, 285, 9837, 2215, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
